"ID (company, number)	",Card_Name,L_star,A_star,B_star,R,G,B
SWT1,SW Tager & Co,80.4,1.4,8.3,207,198,184
SWT2,SW Tager & Co,18.3,1.5,8.2,201,193,179
SWT3,SW Tager & Co,69.5,21,5.8,209,156,160
SWT4,SW Tager & Co,52.7,28.9,-1.3,171,106,129
SWT5,SW Tager & Co,49.6,22.7,9.4,158,103,103
SWT6,SW Tager & Co,71.9,5.9,56.9,208,171,66
SWT7,SW Tager & Co,54.2,19.2,11.3,166,117,111
SWT8,SW Tager & Co,37.2,20,7.4,120,75,77
SWT9,SW Tager & Co,67.6,8,29.5,192,159,111
SWT10,SW Tager & Co,64.8,11.3,25.2,188,149,113
SWT11,SW Tager & Co,47.8,8,21.2,135,108,78
SWT12,SW Tager & Co,48.5,-2.6,10.5,116,116,97
SWT13,SW Tager & Co,38.4,-1,14.6,95,90,67
SWT14,SW Tager & Co,25.3,5.1,9.3,71,57,46
SWT15,SW Tager & Co,39.5,12.7,4.5,115,85,86
SWT16,SW Tager & Co,27.8,15.1,-5.6,85,57,75
SWT17,SW Tager & Co,65.1,-11.3,-6.9,130,164,170
SWT18,SW Tager & Co,37.8,-7.1,-24.6,50,94,128
SWT19,SW Tager & Co,25.3,-1.1,-28.4,27,62,103
SWT20,SW Tager & Co,24,1.3,-13.1,50,57,77
SWT21,SW Tager & Co,67.2,-15.3,8.1,138,171,148
SWT22,SW Tager & Co,38.9,-24.2,8.2,46,102,77
SWT23,SW Tager & Co,37.6,-4.6,21.6,90,90,53
SWT24,SW Tager & Co,31.2,10.7,175.8,55,78,72
SWT25,SW Tager & Co,59,3.7,2,150,140,139
SWT26,SW Tager & Co,41.8,4.1,-1.3,105,96,101
SWT27,SW Tager & Co,32.5,6.9,-1.9,86,73,80
SWT28,SW Tager & Co,65.1,2.1,-0.5,161,157,159
SWT29,SW Tager & Co,25.4,23.6,-14.4,86,48,83
SWT30,SW Tager & Co,30.1,21.9,301.1,77,65,100
SWT31,SW Tager & Co,20.6,0.6,-0.1,50,49,50
SWT32,SW Tager & Co,43.3,32.5,-2.7,150,79,108
H1,A.G. Hyde and Sons 1910s,23.45,-1.23,-0.68,53,56,57
H2,A.G. Hyde and Sons 1910s,86.91,0.72,7.88,224,217,203
H3,A.G. Hyde and Sons 1910s,83.5,1.57,8.49,216,207,192
H4,A.G. Hyde and Sons 1910s,81.96,1.32,11.89,213,202,182
H5,A.G. Hyde and Sons 1910s,80.01,1.77,11.59,208,197,177
H6,A.G. Hyde and Sons 1910s,38.38,42.81,23.76,158,55,54
H7,A.G. Hyde and Sons 1910s,42.4,42.82,21.67,167,65,67
H8,A.G. Hyde and Sons 1910s,34.93,39.88,12.83,142,51,64
H9,A.G. Hyde and Sons 1910s,41.03,16.39,4.52,125,87,90
H10,A.G. Hyde and Sons 1910s,33.54,19.98,10.91,113,66,63
H11,A.G. Hyde and Sons 1910s,76.24,15.06,7.16,219,178,176
H12,A.G. Hyde and Sons 1910s,76.45,16.58,6.83,222,177,177
H13,A.G. Hyde and Sons 1910s,64.32,28.54,0.25,204,137,156
H14,A.G. Hyde and Sons 1910s,58.83,31.81,10.29,199,119,125
H15,A.G. Hyde and Sons 1910s,66.68,14.39,20.13,199,152,127
H16,A.G. Hyde and Sons 1910s,50.67,26.53,2.31,164,103,118
H17,A.G. Hyde and Sons 1910s,61.32,1.68,1.81,153,147,145
H18,A.G. Hyde and Sons 1910s,51.94,0.74,1.14,126,123,122
H19,A.G. Hyde and Sons 1910s,62.93,2.79,-4.17,154,151,160
H20,A.G. Hyde and Sons 1910s,68.34,7.73,-7.31,175,163,180
H21,A.G. Hyde and Sons 1910s,54.61,6.85,-18.46,126,128,162
H22,A.G. Hyde and Sons 1910s,53,16.56,-12.16,146,118,148
H23,A.G. Hyde and Sons 1910s,29.38,14.76,-10.76,84,62,86
H24,A.G. Hyde and Sons 1910s,30.23,10.2,-15.77,75,67,96
H25,A.G. Hyde and Sons 1910s,30.78,9.16,-16.11,74,69,98
H26,A.G. Hyde and Sons 1910s,51.3,13.09,41.79,161,113,49
H27,A.G. Hyde and Sons 1910s,46.4,31.55,25.47,168,88,69
H28,A.G. Hyde and Sons 1910s,46.38,34.47,37.68,174,84,48
H29,A.G. Hyde and Sons 1910s,25.54,13.17,8.03,83,53,49
H30,A.G. Hyde and Sons 1910s,76.04,3.36,8.6,200,185,172
H31,A.G. Hyde and Sons 1910s,72.74,7.08,2.04,193,174,175
H32,A.G. Hyde and Sons 1910s,51.12,-0.01,-0.13,122,122,122
H33,A.G. Hyde and Sons 1910s,55.12,-1.72,0,129,133,132
H34,A.G. Hyde and Sons 1910s,44.89,-1.64,-7.75,96,108,119
