"ID (company, number)",Color,L,A,B,C,M,Y,K,R,G,B,Marking,Missing,Group
H1,,23.45,-1.23,-0.68,71,62,61,54,53,56,57,Blk.,,1
H2,,86.91,0.72,7.88,11,11,18,0,224,217,203,9,,1
H3,,83.5,1.57,8.49,15,15,22,0,216,207,192,59,,1
H4,,81.96,1.32,11.89,17,17,28,0,213,202,182,61,,1
H5,,80.01,1.77,11.59,19,19,30,0,208,197,177,14 1/2,,1
H6,,38.38,42.81,23.76,26,89,80,20,158,55,54,45,,1
H7,,42.4,42.82,21.67,25,85,71,15,167,65,67,140,,1
H8,,34.93,39.88,12.83,31,89,66,26,142,51,64,11,,1
H9,,41.03,16.39,4.52,45,65,53,23,125,87,90,69,,1
H10,,33.54,19.98,10.91,41,72,65,37,113,66,63,11 1/2,,1
H11,,76.24,15.06,7.16,13,32,24,0,219,178,176,12 3/4,,1
H12,,76.45,16.58,6.83,11,33,22,0,222,177,177,12 1/2,,1
H13,,64.32,28.54,0.25,19,54,23,0,204,137,156,12    ,,1
H14,,58.83,31.81,10.29,21,62,41,1,199,119,125,52    ,,1
H15,,66.68,14.39,20.13,22,42,50,1,199,152,127,51    ,,1
H16,,50.67,26.53,2.31,34,66,40,6,164,103,118,130    ,,1
H17,,61.32,1.68,1.81,43,38,38,2,153,147,145,146    ,,1
H18,,51.94,0.74,1.14,52,45,45,10,126,123,122,170    ,,1
H19,,62.93,2.79,-4.17,42,37,30,1,154,151,160,136    ,,1
H20,,,,,,,,,,,,150    ,1,1
H21,,68.34,7.73,-7.31,33,34,19,0,175,163,180,95    ,,2
H22,,54.61,6.85,-18.46,56,48,20,1,126,128,162,94    ,,2
H23,,53,16.56,-12.16,47,57,25,2,146,118,148,254    ,,2
H24,,29.38,14.76,-10.76,66,77,43,32,84,62,86,37    ,,2
H25,,30.23,10.2,-15.77,75,75,40,27,75,67,96,141    ,,2
H26,,30.78,9.16,-16.11,75,74,39,26,74,69,98,255    ,,2
H27,,51.3,13.09,41.79,31,54,95,14,161,113,49,253    ,,2
H28,,46.4,31.55,25.47,26,73,74,14,168,88,69,256    ,,2
H29,,46.38,34.47,37.68,24,76,92,13,174,84,48,258    ,,2
H30,,25.54,13.17,8.03,49,70,67,53,83,53,49,266    ,,2
